request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_109,631.38,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This keeps the EUR 1700 minimum protected."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 06 August 2025. This keeps the ZAR 11200 minimum protected."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 on 03 April 2026. This keeps the IDR 23022800 minimum protected over the next 90 days.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 on 05 June 2024. This keeps the EUR 500 minimum protected over the next 90 days.
request_113,21464.57,affordable_with_plan,full_payment,2026-09-04:36500,2026-09-14,none,Pay INR 36500 on 04 September 2026. This keeps the INR 82300 minimum protected over the next 90 days.
request_114,60173.97,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-14,none,Pay INR 65300 on 04 January 2026. This keeps the INR 113400 minimum protected over the next 90 days.
request_115,14307.43,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Wait until 13 November 2024, then pay INR 80500 in full. Paying sooner would put the INR 38800 minimum at risk."
request_116,14641.41,not_affordable,not_recommended,none,2025-03-16,none,Do not make this payment by 16 April 2025. None of the available options keeps the INR 80300 minimum protected.
request_117,852.22,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,none,Pay EUR 880 on 05 July 2026. This keeps the EUR 1000 minimum protected over the next 90 days.
request_118,628.92,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-16,none,"Use 3 installments of EUR 255.87, starting 07 December 2024. This keeps the EUR 600 minimum protected."
request_119,60366.59,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-05-15,none,"Use 3 installments of INR 70546.67, starting 18 May 2025. This keeps the INR 151200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 on 06 April 2026. This keeps the IDR 20050300 minimum protected over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 on 03 March 2024. This keeps the USD 800 minimum protected over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 05 August 2025. This keeps the IDR 12588500 minimum protected."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 on 07 January 2026. This keeps the IDR 18091200 minimum protected over the next 90 days.
request_124,1398.42,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This keeps the EUR 1600 minimum protected."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 on 06 November 2025. This keeps the ZAR 11300 minimum protected over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 on 03 July 2026. This keeps the INR 129700 minimum protected over the next 90 days.
request_127,15650.08,affordable_later,wait,2024-09-12:23980,2024-09-12,none,"Wait until 12 September 2024, then pay ZAR 23980 in full. Paying sooner would put the ZAR 41000 minimum at risk."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 on 07 February 2025. This keeps the ZAR 42600 minimum protected over the next 90 days.
request_129,109.64,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,370.05,not_affordable,not_recommended,none,2025-02-16,none,Do not make this payment by 15 February 2025. None of the available options keeps the USD 1400 minimum protected.
request_131,1357.44,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-16,none,"Use 3 installments of USD 643.14, starting 06 May 2025. This keeps the USD 1100 minimum protected."
request_132,345.10,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-14,none,Pay USD 379.86 on 05 January 2026. This keeps the USD 1100 minimum protected over the next 90 days.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9986200 minimum protected.
request_134,4436132.42,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,"Wait until 14 August 2025, then pay IDR 21831000 in full. Paying sooner would put the IDR 15902500 minimum at risk."
request_135,286.83,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,none,Pay USD 304.80 on 06 July 2026. This keeps the USD 500 minimum protected over the next 90 days.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 on 03 June 2024. This keeps the USD 1100 minimum protected over the next 90 days.
request_137,24989.36,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 71800 minimum protected.
request_138,1144.68,affordable_with_plan,partial_payment,2026-04-07:1144.68|2026-04-14:112.26,2026-04-14,none,Pay EUR 1144.68 on 07 April 2026 and the remaining EUR 112.26 on 14 April 2026. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1721.33,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,"Use 3 installments of USD 802.88, starting 07 September 2024. This keeps the USD 1500 minimum protected."
request_140,3433.01,not_affordable,not_recommended,none,,none,Do not make this payment by 04 March 2025. None of the available options keeps the ZAR 21600 minimum protected.
request_141,24674.84,not_affordable,not_recommended,none,,none,Do not make this payment by 12 February 2026. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 on 05 December 2024. This keeps the USD 1700 minimum protected over the next 90 days.
request_143,2639.67,not_affordable,not_recommended,none,2025-07-17,none,Do not make this payment by 15 July 2025. None of the available options keeps the ZAR 11300 minimum protected.
request_144,206.55,affordable_with_plan,full_payment,2026-07-04:233.34,2026-08-16,none,Pay USD 233.34 on 04 July 2026. This keeps the USD 600 minimum protected over the next 90 days.
request_145,26929.96,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-17,none,"Use 3 installments of INR 75365.33, starting 20 March 2024. This keeps the INR 155400 minimum protected."
request_146,16090.82,affordable_later,wait,2025-09-14:449400,2025-09-14,none,"Wait until 14 September 2025, then pay INR 449400 in full. Paying sooner would put the INR 108600 minimum at risk."
request_147,478.46,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-14,none,"Use 3 installments of EUR 391.63, starting 08 April 2026. This keeps the EUR 900 minimum protected."
request_148,7146.34,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This keeps the ZAR 20000 minimum protected."
request_149,24716.47,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This keeps the ZAR 42100 minimum protected."
request_150,312.20,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 on 03 September 2024. This keeps the IDR 31633600 minimum protected over the next 90 days.
request_152,11882.05,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11900 minimum protected.
request_153,21.22,not_affordable,not_recommended,none,,none,Do not make this payment by 24 September 2026. None of the available options keeps the USD 1400 minimum protected.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 04 December 2024. This keeps the EUR 1300 minimum protected."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 on 06 May 2025. This keeps the INR 56300 minimum protected over the next 90 days.
request_156,11171.01,affordable_later,wait,2026-06-13:43076,2026-06-13,none,"Wait until 13 June 2026, then pay ZAR 43076 in full. Paying sooner would put the ZAR 26900 minimum at risk."
request_157,4658049.89,not_affordable,not_recommended,none,2024-05-18,none,Do not make this payment by 15 May 2024. None of the available options keeps the IDR 15714100 minimum protected.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 07 August 2025. This keeps the INR 131400 minimum protected."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 on 04 January 2026. This keeps the ZAR 8700 minimum protected over the next 90 days.
request_160,656.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-14,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This keeps the EUR 1200 minimum protected."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23010400 minimum protected.
request_162,3203251.42,not_affordable,not_recommended,none,,none,Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24161100 minimum protected.
request_163,11584237.45,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-14,none,"Use 3 installments of IDR 6692053.33, starting 10 September 2024. This keeps the IDR 26728700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This keeps the IDR 29550500 minimum protected."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 on 06 April 2026. This keeps the INR 95000 minimum protected over the next 90 days.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 03 December 2024. This keeps the USD 1700 minimum protected."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 on 05 May 2025. This keeps the ZAR 31200 minimum protected over the next 90 days.
request_168,29484.71,affordable_with_plan,partial_payment,2026-01-07:29484.71|2026-01-14:19895.29,2026-01-14,none,Pay INR 29484.71 on 07 January 2026 and the remaining INR 19895.29 on 14 January 2026. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 on 04 March 2024. This keeps the ZAR 18700 minimum protected over the next 90 days.
request_170,31533245.52,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,none,"Use 3 installments of IDR 12804480, starting 06 August 2025. This keeps the IDR 24715800 minimum protected."
request_171,35.55,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 05 June 2024. This keeps the ZAR 27200 minimum protected."
request_173,63973.03,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-13,none,"Use 3 installments of INR 39173.33, starting 21 November 2025. This keeps the INR 79100 minimum protected."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 04 April 2026. This keeps the EUR 700 minimum protected."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 on 06 September 2024. This keeps the EUR 1700 minimum protected over the next 90 days.
request_176,400.53,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 on 05 January 2026. This keeps the USD 1300 minimum protected over the next 90 days.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 07 December 2024. This keeps the EUR 1400 minimum protected."
request_179,6522843.53,not_affordable,not_recommended,none,2025-07-17,none,Do not make this payment by 15 July 2025. None of the available options keeps the IDR 41430800 minimum protected.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 on 06 July 2026. This keeps the INR 37300 minimum protected over the next 90 days.
request_181,375.76,not_affordable,not_recommended,none,2024-04-14,none,Do not make this payment by 07 April 2024. None of the available options keeps the USD 2000 minimum protected.
request_182,53802.44,affordable_with_plan,full_payment,2025-08-05:65714,2025-10-19,none,Pay ZAR 65714 on 05 August 2025. This keeps the ZAR 31100 minimum protected over the next 90 days.
